kg	1 kg	kg
kilogram	1 kg	kg
s	1 s	s
second	1 s	s
m	1 m	m
meter	1 m	m
A	1 A	A
ampere	1 A	A
amp	1 A	ampere
cd	1 cd	cd
candela	1 cd	cd
mol	1 mol	mol
mole	1 mol	mol
K	1 K	K
kelvin	1 K	K
Gb	0.795774715459476645 A	gilbert
Gi	0.795774715459476645 A	gilbert
unitpole	1.25663706143591724e-07 m^2*kg/s^2*A	4 pi maxwell
emu	0.00100000000000000024 m^2*A	erg/gauss
statampere	3.33564095198152074e-10 A	10 A cm / s c
statamp	3.33564095198152074e-10 A	statampere
statvolt	299.792458000000011 m^2*kg/s^3*A	dyne cm / statamp sec
statcoulomb	3.33564095198152074e-10 s*A	statamp s
esu	3.33564095198152074e-10 s*A	statcoulomb
statcoul	3.33564095198152074e-10 s*A	statcoulomb
statfarad	1.11265005605361846e-12 s^4*A^2/m^2*kg	statamp sec / statvolt
cmcapacitance	1.11265005605361846e-12 s^4*A^2/m^2*kg	statfarad
stathenry	898755178736.817627 m^2*kg/s^2*A^2	statvolt sec / statamp
statohm	898755178736.817627 m^2*kg/s^3*A^2	statvolt / statamp
statmho	1.11265005605361846e-12 s^3*A^2/m^2*kg	/statohm
statmaxwell	299.792458000000011 m^2*kg/s^2*A	statvolt sec
franklin	3.33564095198152074e-10 s*A	statcoulomb
debye	3.33564095198152075e-30 m*s*A	1e-18 statcoul cm
helmholtz	3.33564095198152022e-10 s*A/m	debye/angstrom^2
jar	1.11265005605361843e-09 s^4*A^2/m^2*kg	1000 statfarad
intampere	0.999835000000000029 A	0.999835 A
intamp	0.999835000000000029 A	intampere
intfarad	0.999504999999999977 s^4*A^2/m^2*kg	0.999505 F
intvolt	1.00032999999999994 m^2*kg/s^3*A	1.00033 V
intohm	1.00049499999999991 m^2*kg/s^3*A^2	1.000495 ohm
daniell	1.04200000000000004 m^2*kg/s^3*A	1.042 V
faraday	96485.3329073190835 s*A	N_A e mol
faraday_phys	96521.8999999999942 s*A	96521.9 C
faraday_chem	96495.6999999999971 s*A	96495.7 C
kappline	6.00000000000000015e-05 m^2*kg/s^2*A	6000 maxwell
siemensunit	0.953400000000000025 m^2*kg/s^3*A^2	0.9534 ohm
copperconductivity	58000000 s^3*A^2/m^3*kg	58 siemens m / mm^2
IACS	58000000 s^3*A^2/m^3*kg	copperconductivity
copperdensity	8889.99999999999818 kg/m^3	8.89 g/cm^3
LUMINOUS_INTENSITY	1 cd	candela
candle	1.02000000000000002 cd	1.02 candela
hefnerunit	0.918000000000000038 cd	0.9 candle
hefnercandle	0.918000000000000038 cd	hefnerunit
violle	20.1700000000000017 cd	20.17 cd
lumen	1 cd	cd sr
lm	1 cd	lumen
talbot	1 s*cd	lumen s
lumberg	1 s*cd	talbot
lumerg	1 s*cd	talbot
lux	1 cd/m^2	lm/m^2
lx	1 cd/m^2	lux
phot	10000 cd/m^2	lumen / cm^2
ph	10000 cd/m^2	phot
footcandle	10.7639104167097219 cd/m^2	lumen/ft^2
metercandle	1 cd/m^2	lumen/m^2
mcs	1 s*cd/m^2	metercandle s
nox	0.00100000000000000002 cd/m^2	1e-3 lux
nit	1 cd/m^2	cd/m^2
stilb	10000 cd/m^2	cd / cm^2
sb	10000 cd/m^2	stilb
apostilb	0.318309886183790691 cd/m^2	cd/pi m^2
asb	0.318309886183790691 cd/m^2	apostilb
blondel	0.318309886183790691 cd/m^2	apostilb
equivalentlux	0.318309886183790691 cd/m^2	cd / pi m^2
equivalentphot	3183.09886183790695 cd/m^2	cd / pi cm^2
lambert	3183.09886183790695 cd/m^2	cd / pi cm^2
footlambert	3.42625909963539055 cd/m^2	cd / pi ft^2
sunlum	1600000000 cd/m^2	1.6e9 cd/m^2
sunillum	100000 cd/m^2	100e3 lux
sunillum_o	10000 cd/m^2	10e3 lux
sunlum_h	6000000 cd/m^2	6e6 cd/m^2
skylum	8000 cd/m^2	8000 cd/m^2
skylum_o	2000 cd/m^2	2000 cd/m^2
moonlum	2500 cd/m^2	2500 cd/m^2
s100	100 m^2/s*cd	100 / lx s
iso100	100 m^2/s*cd	s100
k1250	12.5 s^-1	12.5 (cd/m^2) / lx s
k1400	14 s^-1	14   (cd/m^2) / lx s
c250	250 s^-1	250 lx / lx s
N_exif	0.320000000000000007 s*cd/m^2	1|3.125 lx s
K_apex1961	11.4000000000000004 s^-1	11.4 (cd/m^2) / lx s
K_apex1971	12.5 s^-1	12.5 (cd/m^2) / lx s
C_apex1961	224 s^-1	224 lx / lx s
C_apex1971	322 s^-1	322 lx / lx s
N_speed	0.320000000000000007 s*cd/m^2	N_exif
K_lum	12.5 s^-1	K_apex1971
C_illum	224 s^-1	C_apex1961
TIME	1 s	second
anomalisticyear	31558429.4399999976 s	365.2596 days
siderealyear	31558149.5400287993 s	365.256360417 day
tropicalyear	31556925.9746784009 s	365.242198781 day
eclipseyear	29947968 s	346.62 days
siderealday	86164.0905400000047 s	86164.09054 s
siderealhour	3590.17043916666671 s	1|24 siderealday
siderealminute	59.8361739861111133 s	1|60 siderealhour
siderealsecond	0.997269566435185162 s	1|60 siderealminute
anomalisticmonth	2380713.10012800014 s	27.55454977 day
nodicalmonth	2351135.79936000006 s	27.2122199 day
draconicmonth	2351135.79936000006 s	nodicalmonth
draconiticmonth	2351135.79936000006 s	nodicalmonth
siderealmonth	2360591.51040000003 s	27.321661 day
lunarmonth	2551442.79999999981 s	29 days + 12 hours + 44 minutes + 2.8 seconds
synodicmonth	2551442.79999999981 s	lunarmonth
lunation	2551442.79999999981 s	synodicmonth
lune	85048.0933333333232 s	1|30 lunation
lunour	3543.67055555555498 s	1|24 lune
year	31556925.9746784009 s	tropicalyear
yr	31556925.9746784009 s	year
month	2629743.83122320008 s	1|12 year
mo	2629743.83122320008 s	month
lustrum	157784629.873392016 s	5 years
decade	315569259.746784031 s	10 years
century	3155692597.46784019 s	100 years
millennium	31556925974.6784019 s	1000 years
millennia	31556925974.6784019 s	millennium
